,Query,OriginalCategory,OriginalBrand,OriginalRank,OriginalTitle,OriginalPrice,CandidateCategory,CandidateBrand,CandidateRank,CandidateTitle,CandidatePrice
0,런닝화,스니커즈,슬레진저,2.0,"슬레진저 스킬 스타일리쉬 스니커즈 SL-252, 레드, 230",9210.0,운동화,슬레진저,137.0,"슬레진저 리코 운동화 SL-282, 레드, 230",12000.0
1,런닝화,스니커즈,슬레진저,2.0,"슬레진저 스킬 스타일리쉬 스니커즈 SL-252, 레드, 230",9210.0,운동화,슬레진저,93.0,"슬레진저 셀릭 운동화 SL-181, 블랙, 230",11480.0
2,런닝화,스니커즈,슬레진저,2.0,"슬레진저 스킬 스타일리쉬 스니커즈 SL-252, 레드, 230",9210.0,스니커즈,뉴발란스,20.0,"뉴발란스 WL520AG 스니커즈,220",49500.0
3,런닝화,스니커즈,슬레진저,2.0,"슬레진저 스킬 스타일리쉬 스니커즈 SL-252, 레드, 230",9210.0,스니커즈,뉴발란스,23.0,"뉴발란스 U520BD 스니커즈,220",49500.0
4,런닝화,스니커즈,슬레진저,2.0,"슬레진저 스킬 스타일리쉬 스니커즈 SL-252, 레드, 230",9210.0,운동화,슬레진저,42.0,"슬레진저 에어 메쉬 운동화 SL-770 레틱, 블루, 230",12900.0
5,런닝화,런닝화,아디다스,6.0,"아디다스 남녀공용 튜블라 쉐도우 런닝화 CQ0928, WHITE, 235",39260.0,런닝화,페이퍼플레인,45.0,"페이퍼플레인 남녀공용 PP1404 런닝화, 블랙, 290",34800.0
6,런닝화,런닝화,아디다스,6.0,"아디다스 남녀공용 튜블라 쉐도우 런닝화 CQ0928, WHITE, 235",39260.0,런닝화,리복,52.0,"리복 펌프 수프림 런닝화 BS9513, BLACK + WHITE, 235",57240.0
7,런닝화,런닝화,아디다스,6.0,"아디다스 남녀공용 튜블라 쉐도우 런닝화 CQ0928, WHITE, 235",39260.0,운동화,프로월드컵,125.0,"프로월드컵 메가스피드 런닝화(GR) 운동화, 그레이, 235",28360.0
8,런닝화,런닝화,아디다스,6.0,"아디다스 남녀공용 튜블라 쉐도우 런닝화 CQ0928, WHITE, 235",39260.0,런닝화,프로월드컵,119.0,"프로월드컵 여성용 헤나 런닝화, 그레이, 245",39900.0
9,런닝화,런닝화,아디다스,6.0,"아디다스 남녀공용 튜블라 쉐도우 런닝화 CQ0928, WHITE, 235",39260.0,런닝화,프로월드컵,159.0,"프로월드컵 엑셀 런닝화 운동화, 블랙, 250",52420.0
10,런닝화,스니커즈,SNRD,1.0,"SNRD 스니커즈 런닝화 SN192, 블랙, 225",15630.0,스니커즈,뉴발란스,217.0,"뉴발란스 MRL247BR 스니커즈, 블랙, 220",42500.0
11,런닝화,스니커즈,SNRD,1.0,"SNRD 스니커즈 런닝화 SN192, 블랙, 225",15630.0,스니커즈,뉴발란스,20.0,"뉴발란스 WL520AG 스니커즈,220",49500.0
12,런닝화,스니커즈,SNRD,1.0,"SNRD 스니커즈 런닝화 SN192, 블랙, 225",15630.0,스니커즈,뉴발란스,23.0,"뉴발란스 U520BD 스니커즈,220",49500.0
13,런닝화,스니커즈,SNRD,1.0,"SNRD 스니커즈 런닝화 SN192, 블랙, 225",15630.0,스니커즈,갓슈,88.0,"갓슈 퍼더 커플 스니커즈 런닝화 K-8000, 네이비, 225",38680.0
