query,id,query_item_rank,price,impressionCount,clickCount,category,brand,title
군기저귀,95020,1,40860,12014,1876,밴드형,군,"군 오리지널 테이프 밴드형 기저귀 남여공용 S (4-8kg), 252매입"
군기저귀,63324,2,41270,11867,1680,밴드형,군,"군 2018년 오리지널 테이프 밴드형 기저귀 남녀공용 중형 M(6~11kg), 192매입"
군기저귀,17141,3,40880,11995,1266,밴드형,군,"군 오리지널 테이프 밴드형 기저귀 남여공용 대형 L(9~14kg), 162매입"
군기저귀,17160,4,41900,11559,823,팬티형,군,"군 오리지널 팬티형 일회용 기저귀 남아용 XL 12~20kg, 114매"
군기저귀,95001,8,41150,6719,591,밴드형,군,"군 2018년 오리지널 테이프 밴드형 기저귀 남여공용 신생아용(~5kg), 270매입"
군기저귀,63333,5,40900,9659,579,밴드형,군,"군 2018년 오리지널 테이프 기저귀 남여공용 특대형 XL(12~20kg), 126매"
군기저귀,17161,4,41490,8196,500,팬티형,군,"군 오리지널 팬티형 기저귀 여아용 특대형 XL (12~20kg), 114매"
군기저귀,17163,6,41500,7045,374,팬티형,군,"군 오리지널 팬티형 기저귀 여아용 대형(9~14kg), 132매"
군기저귀,17162,7,41470,7320,352,팬티형,군,"군 오리지널 팬티형 기저귀 남아용 L (9~14kg), 132매"
군기저귀,17164,11,40600,4930,266,팬티형,군,"군 오리지널 팬티형 기저귀 남여공용 M(7~12kg), 174매"
군기저귀,17146,14,31190,4488,212,밴드형,군,"군 슬림 앤 드라이 밴드형 기저귀 남녀 공용 M (7~12kg), 152매"
군기저귀,95024,15,31190,3453,181,밴드형,군,"군 슬림앤드라이 밴드형 기저귀 남녀공용 S (4~8kg), 176매"
군기저귀,17149,17,53740,3716,110,밴드형,군,"군 슬림앤드라이 일회용 기저귀 아동공용 L(9~14kg), 256개입"
군기저귀,17114,11,27900,2150,88,팬티형,군,"군 소프트 팬티 점보형 기저귀 남여공용 XXL (15~25kg), 60매"
군기저귀,175734,33,40320,1757,78,팬티형,군,"군 엑셀런트 소프트 팬티형 기저귀 아동공용 XL(12~17kg), 132매입"
군기저귀,17156,19,53760,2516,72,밴드형,군,"군 슬림 앤 드라이 밴드형 기저귀 남녀 공용 M (7~12kg), 304매"
군기저귀,17147,28,27900,2079,72,밴드형,군,"군 슬림앤드라이 밴드형 기저귀 남녀공용 S (4~8kg), 132매"
군기저귀,175703,20,31260,2573,70,팬티형,군,"군 엑셀런트 소프트 팬티형 기저귀 아동공용 L(9~14kg), 104매입"
군기저귀,17168,20,46890,1533,65,팬티형,군,"군 소프트 팬티 점보형 기저귀 남여공용 XXL (15~25kg), 120매"
군기저귀,17153,19,25850,2248,62,밴드형,군,"군 슬림 앤 드라이 밴드형 기저귀 남녀 공용 M (7~12kg), 114매"
군기저귀,63336,20,53480,1724,53,밴드형,군,"군 슬림 앤 드라이 밴드형 일회용 기저귀 남여공용 특대형(12~20kg), 240매"
군기저귀,17152,28,75820,1250,53,밴드형,군,"군프리미엄 2018년형 마시멜로 밴드형 기저귀 남녀공용 특대형 (12~20kg), 180매"
군기저귀,17170,24,25670,1328,52,팬티형,군,"군 엑셀런트 소프트 팬티형 기저귀 아동공용 XL(12~17kg), 66매입"
군기저귀,17151,14,39900,864,39,밴드형,군,"군 프리미엄 2017년 마시멜로 밴드형 기저귀 남녀공용 M (6~11kg), 138매"
군기저귀,17150,25,40900,731,32,밴드형,군,"군프리미엄 2017년 마시멜로 밴드형 기저귀 남녀공용 대형 (9~14kg), 114매"
군기저귀,17172,28,26240,1128,25,팬티형,군,"군 엑셀런트 소프트 팬티형 기저귀 아동공용 L(9~14kg), 78매입"
군기저귀,17173,18,76950,867,22,팬티형,군,"군 팬티형 기저귀 여아용 XXL (13~25kg), 168매"
군기저귀,17167,42,83000,1110,19,팬티형,군,"군 오리지널 팬티형 기저귀 남아용 XXL (13~25kg), 168매"
군기저귀,63310,35,40600,559,12,밴드형,군,"군 2017년 오리지널 밴드형 일회용 기저귀 남여공용 3단계 6-11kg, 192매"
군기저귀,17169,38,91990,472,9,팬티형,군,"군 프리미엄 마시멜로 팬티형 기저귀 아동공용 XL 5단계(12~20 kg), 168매"
군기저귀,63335,49,43450,269,9,밴드형,군,"다이오제지 군 프리미엄 마시멜로 밴드형 기저귀 남녀공용 신생아 (~5kg), 186매"
군기저귀,17174,44,46890,905,9,팬티형,군,"군 엑셀런트 소프트 팬티형 기저귀 아동공용 L(9~14kg), 156매입"
군기저귀,17177,86,39900,215,8,팬티형,군,"군 오리지널 팬티형 기저귀 남녀공용 S(5~9kg), 186매"
군기저귀,17155,45,40900,326,6,밴드형,군,"군 2017년 마시멜로 밴드형 기저귀 남녀공용 소형 (4~8kg), 174매"
군기저귀,17171,82,42210,321,6,팬티형,군,"군 엑셀런트 소프트 팬티형 기저귀 아동공용 M(7~12kg), 192매입"
군기저귀,17175,57,75820,192,6,팬티형,군,"군 프리미엄 마시멜로 팬티형 기저귀 남녀공용 L 4단계(9~14kg), 192매"
군기저귀,17178,81,85850,109,6,팬티형,군,"군 2018년 마시멜로 팬티형 기저귀 남녀공용 XXL(13~25kg), 120매"
군기저귀,17179,88,42000,313,5,팬티형,군,"군 윈터 팬티형 기저귀 여아용 L 4단계(9~14kg), 132매"
군기저귀,17139,136,57460,111,3,출산선물세트,군,"군 신생아용 기저귀 출산선물 세트, 1세트"
군기저귀,17181,99,47630,27,1,팬티형,군,"군 2017년형 썸머 팬티형 기저귀 남아용 L (9~14kg), 132매"
기저귀,182215,2,31900,63920,3535,팬티형,,"하기스 2018 보송보송 팬티형 기저귀 아동공용 특대형 5단계(13~18kg), 104매"
기저귀,182047,3,31900,50214,2293,팬티형,,"하기스 2018 보송보송 팬티형 기저귀 남여공용 대형 4단계(10~14kg), 124매"
기저귀,19347,4,28600,37471,2169,밴드형,,"군 슬림 앤 드라이 밴드형 일회용 기저귀 남여공용 특대형(12~20kg), 120매"
